OrderID,Date,Region,Product,Category,Sales,Quantity,Discount,Profit
1001,2024-01-05,North,Laptop,Electronics,80000,3,0.05,12000
1002,2024-01-07,South,Phone,Electronics,45000,5,0.10,6000
1003,2024-01-09,East,Tablet,Electronics,30000,2,,4000
1004,2024-01-10,West,Headphones,Accessories,8000,8,0.05,1500
1005,2024-01-12,North,Monitor,Electronics,20000,3,0.08,2500
1006,2024-01-13,South,Keyboard,Accessories,6000,5,,700
1007,2024-01-14,East,Mouse,Accessories,4000,4,0.10,500
1008,2024-01-15,West,Laptop,Electronics,85000,2,0.05,13000
1009,2024-01-17,North,Chair,Furniture,10000,6,0.15,2000
1010,2024-01-18,South,Desk,Furniture,25000,2,0.20,
1011,2024-01-20,East,Table,Furniture,28000,3,0.10,3500
1012,2024-01-21,West,Mouse,Accessories,5000,7,0.05,800
1013,2024-01-23,North,Phone,Electronics,48000,6,0.07,6500
1014,2024-01-25,South,Headphones,Accessories,9000,9,,1800
1015,2024-01-27,East,Laptop,Electronics,90000,2,0.10,14000
1016,2024-01-29,West,Desk,Furniture,22000,2,0.15,2500
1017,2024-02-01,North,Tablet,Electronics,35000,3,0.08,5000
1018,2024-02-03,South,Monitor,Electronics,21000,4,0.12,2600
1019,2024-02-05,East,Chair,Furniture,12000,5,0.20,1800
1020,2024-02-07,West,Keyboard,Accessories,7000,6,0.05,900
